feature,importance
post_NBR,0.3169087057913064
pre_NBR,0.1204832437974229
post_B8,0.12038316266268645
post_NDVI,0.08000298054818022
pre_NDVI,0.05885397493505934
post_BAI,0.05360819346577801
pre_B12,0.04213523848902934
post_B12,0.040733766230593604
pre_NDWI,0.03264651310567786
pre_BAI,0.02558043454173813
post_NDWI,0.02499010443457924
pre_B8,0.02249261286862291
pre_B4,0.021749148425646667
post_B11,0.016202854664074836
pre_B11,0.01182707875679483
post_B4,0.01140198728280934
